"TABLE_CATALOG","TABLE_SCHEMA","TABLE_NAME","TABLE_TYPE"
EDU_NUCE,dbo,DT_DD_ChiTietSinhVienTheoLichHoc,BASE TABLE
EDU_NUCE,dbo,KT_HoaDonDienTu,BASE TABLE
EDU_NUCE,dbo,CMS_DM_HinhThucDangKy,BASE TABLE
EDU_NUCE,dbo,EX_DeThiChiTiet,BASE TABLE
EDU_NUCE,dbo,KT_DSSVDuocPhepThanhToanHP_NgoaiLe,BASE TABLE
EDU_NUCE,dbo,TKB_DanhSachLichHocTamNgung,BASE TABLE
EDU_NUCE,dbo,DM_TieuChiTimKiemGiaTri,BASE TABLE
EDU_NUCE,dbo,DTBD_TN_MonXetChungChi,BASE TABLE
EDU_NUCE,dbo,DT_TongKetDot_KQLanDau,BASE TABLE
EDU_NUCE,dbo,NK_KC_API_NS_DangKyLePhi,BASE TABLE
EDU_NUCE,dbo,TKB_CC_HeSoPhong,BASE TABLE
EDU_NUCE,dbo,HT_LicenseDetails,BASE TABLE
EDU_NUCE,dbo,ACL_Module,BASE TABLE
EDU_NUCE,dbo,KTX_DotDangKyNoiTru,BASE TABLE
EDU_NUCE,dbo,DTBD_XuLyViPham,BASE TABLE
EDU_NUCE,dbo,TKB_TamNgungGiangVien,BASE TABLE
EDU_NUCE,dbo,NK_KC_API_EduClass,BASE TABLE
EDU_NUCE,dbo,EX_TieuChiChamDiemCauHoiTuLuan,BASE TABLE
EDU_NUCE,dbo,DT_SinhVienMienGiam,BASE TABLE
EDU_NUCE,dbo,NK_KC_API_KHDT_HocKy,BASE TABLE
EDU_NUCE,dbo,DM_Dot,BASE TABLE
EDU_NUCE,dbo,DM_TruongTHCS,BASE TABLE
EDU_NUCE,dbo,KTX_KT_SoChi,BASE TABLE
EDU_NUCE,dbo,HT_CauHinh,BASE TABLE
EDU_NUCE,dbo,DD_ThietBiPhong,BASE TABLE
EDU_NUCE,dbo,NK_PhieuHuyKhac,BASE TABLE
EDU_NUCE,dbo,DT_DD_ChiTietThongTinDiemDanh,BASE TABLE
EDU_NUCE,dbo,DGXL_ChiTietLichSuDanhGiaTieuChiChung,BASE TABLE
EDU_NUCE,dbo,TKB_LopKhongXepThoiKhoaBieu,BASE TABLE
EDU_NUCE,dbo,EX_DeThiChiTietDapAn,BASE TABLE
EDU_NUCE,dbo,NK_CapNhatDangKy,BASE TABLE
EDU_NUCE,dbo,NK_KC_CRM_EduHistory,BASE TABLE
EDU_NUCE,dbo,NK_KC_API_NS_Dot,BASE TABLE
EDU_NUCE,dbo,NK_KC_Lemon_PhanBoDoanhThu,BASE TABLE
EDU_NUCE,dbo,ACL_NhatKyHT,BASE TABLE
EDU_NUCE,dbo,ES_BaiThiGiay,BASE TABLE
EDU_NUCE,dbo,NK_KC_API_Payment,BASE TABLE
EDU_NUCE,dbo,EX_DiemBaiThiTuLuanChiTiet,BASE TABLE
EDU_NUCE,dbo,DT_SinhVienMienGiamTinChi,BASE TABLE
EDU_NUCE,dbo,DM_ChiTietVaiTroThamGia,BASE TABLE
EDU_NUCE,dbo,NK_KC_API_KHDT_KeHoachThu,BASE TABLE
EDU_NUCE,dbo,DT_MonHocTuongDuongThayThe,BASE TABLE
EDU_NUCE,dbo,KT_SoThuKhac,BASE TABLE
EDU_NUCE,dbo,DM_XuLyQuyCheThi,BASE TABLE
EDU_NUCE,dbo,KTX_NK_DienBienKhauTru,BASE TABLE
EDU_NUCE,dbo,TS_DM_CoSoDangKy,BASE TABLE
EDU_NUCE,dbo,DM_BanTS,BASE TABLE
EDU_NUCE,dbo,TKB_CC_HeSo,BASE TABLE
EDU_NUCE,dbo,DT_DD_SinhVienDiemDanh,BASE TABLE
EDU_NUCE,dbo,SV_LienHeGhiChu,BASE TABLE
EDU_NUCE,dbo,EX_DiemThi,BASE TABLE
EDU_NUCE,dbo,TC_PayLog,BASE TABLE
EDU_NUCE,dbo,DT_TC_QuyCheHocVu,BASE TABLE
EDU_NUCE,dbo,NK_KC_API_NS_HeDaoTao,BASE TABLE
EDU_NUCE,dbo,DT_DS_ChiTietQuyUocCotDiem,BASE TABLE
EDU_NUCE,dbo,DT_NC_DangKyDuThiTotNghiep,BASE TABLE
EDU_NUCE,dbo,ES_BaiThiGiayChiTiet,BASE TABLE
EDU_NUCE,dbo,OP_ChiTietSoThuTrucTuyen,BASE TABLE
EDU_NUCE,dbo,NK_KC_API_Product,BASE TABLE
EDU_NUCE,dbo,DM_DanhMuc,BASE TABLE
EDU_NUCE,dbo,NK_KC_API_KHDT_SiSo,BASE TABLE
EDU_NUCE,dbo,TKB_MonHocGiangVien,BASE TABLE
EDU_NUCE,dbo,DT_MonHocTuongDuongThayTheChiTiet,BASE TABLE
EDU_NUCE,dbo,DM_TrangThaiDangKy,BASE TABLE
EDU_NUCE,dbo,DT_CC_CapDoDauMonHocDieuKien,BASE TABLE
EDU_NUCE,dbo,KTX_Phong_ThietBi,BASE TABLE
EDU_NUCE,dbo,DM_BieuMauDeXuat,BASE TABLE
EDU_NUCE,dbo,NK_KC_Lemon_PhanBoDoanhThuChiTiet,BASE TABLE
EDU_NUCE,dbo,TKB_CC_LoaiHeSo,BASE TABLE
EDU_NUCE,dbo,ES_NhanSuQuanLyBCH,BASE TABLE
EDU_NUCE,dbo,DT_DD_ThongTinDiemDanh,BASE TABLE
EDU_NUCE,dbo,DM_LoaiKhuyetTat,BASE TABLE
EDU_NUCE,dbo,DT_SinhVienNghi,BASE TABLE
EDU_NUCE,dbo,ACL_TokenAccessApi,BASE TABLE
EDU_NUCE,dbo,EX_DoKho,BASE TABLE
EDU_NUCE,dbo,TKB_CC_HeSoQuyDoiKhac,BASE TABLE
EDU_NUCE,dbo,KTX_DangKyNoiTru,BASE TABLE
EDU_NUCE,dbo,NK_KC_API_NS_Khoa,BASE TABLE
EDU_NUCE,dbo,DM_GiangVien,BASE TABLE
EDU_NUCE,dbo,HT_LOCK_Custom,BASE TABLE
EDU_NUCE,dbo,DT_DangKyThiLai,BASE TABLE
EDU_NUCE,dbo,ES_BaiThiNgoai,BASE TABLE
EDU_NUCE,dbo,TKB_ComboLopHocPhan,BASE TABLE
EDU_NUCE,dbo,NK_KC_API_Receipts,BASE TABLE
EDU_NUCE,dbo,DM_LoaiDanhMuc,BASE TABLE
EDU_NUCE,dbo,TKB_NhatKyTamNgungLichHoc,BASE TABLE
EDU_NUCE,dbo,DT_DangKyHocPhan,BASE TABLE
EDU_NUCE,dbo,DT_CC_KetQuaThiDauVaoMonHocDieuKien,BASE TABLE
EDU_NUCE,dbo,TKB_LH_TrangThaiLichHoc,BASE TABLE
EDU_NUCE,dbo,TKB_DeXuatThayDoiLichHoc,BASE TABLE
